"ID задачи","Проект","Теги","Заголовок","Заявитель","Создана","Обновлена","Завершенная","Приоритет","Тип","Состояние","Часов","Спринт","Описание","Голоса"
"BARTER-51","Бартер","Звезда","Фильтрация + поиск пользователей","admin","28 нояб. 2025 15:19","28 нояб. 2025 15:19",,"Критическая","Задание","Открыта","4","Администрирование системы",,"0"
"BARTER-49","Бартер","Звезда","Спам фильтр в чатах","admin","28 нояб. 2025 15:14","28 нояб. 2025 15:14",,"Критическая","Задание","Открыта","4","Обратная связь/модерация объявлений",,"0"
"BARTER-48","Бартер","Звезда","Сокрытие неприемлимых объявлений","admin","28 нояб. 2025 15:13","28 нояб. 2025 15:13",,"Критическая","Задание","Открыта","4","Обратная связь/модерация объявлений",,"0"
"BARTER-46","Бартер","Звезда","Расчет + отображение рейтинга у мероприятий","admin","28 нояб. 2025 15:11","28 нояб. 2025 15:11",,"Серьезная","Задание","Открыта","6","Обратная связь/модерация объявлений",,"0"
"BARTER-45","Бартер","Звезда","Реализация crud-отзывов","admin","28 нояб. 2025 15:10","28 нояб. 2025 15:10",,"Серьезная","Задание","Открыта","6","Обратная связь/модерация объявлений",,"0"
"BARTER-41","Бартер","Звезда","Создать чат обсуждения заявок","admin","28 нояб. 2025 14:50","28 нояб. 2025 15:03",,"Обычная","Задание","Открыта","18","Процесс бартера",,"0"
"BARTER-42","Бартер","Звезда","Создание crud-сообщений","admin","28 нояб. 2025 14:51","28 нояб. 2025 15:05",,"Критическая","Задание","Открыта","4","Процесс бартера",,"0"
"BARTER-44","Бартер","Звезда","Реализация crud-чатов","admin","28 нояб. 2025 15:03","28 нояб. 2025 15:05",,"Критическая","Задание","Открыта","4","Работа с объявлениями",,"0"
"BARTER-43","Бартер","Звезда","Real-time обмен между клиентом и сервером","admin","28 нояб. 2025 14:52","28 нояб. 2025 15:05",,"Неотложная","Задание","Открыта","8","Процесс бартера",,"0"
"BARTER-40","Бартер","Звезда","Принятия/отклонения заявки","admin","28 нояб. 2025 14:49","28 нояб. 2025 14:49",,"Критическая","Задание","Открыта","6","Процесс бартера",,"0"
"BARTER-39","Бартер","Звезда","Отклонение заявок после 72 часов простоя","admin","28 нояб. 2025 14:48","28 нояб. 2025 14:48",,"Незначительная","Задание","Открыта","4","Процесс бартера",,"0"
"BARTER-38","Бартер","Звезда","Реализация crud-заявок","admin","28 нояб. 2025 14:47","28 нояб. 2025 14:47",,"Неотложная","Задание","Открыта","3","Процесс бартера",,"0"
"BARTER-4","Бартер","Звезда","Создание аккаунта через email/пароль","admin","28 нояб. 2025 11:16","28 нояб. 2025 12:31",,"Неотложная","Задание","Открыта","5","Базовая архитектура/Авторизация",,"0"
"BARTER-5","Бартер","Звезда","Реализация crud-пользователя","admin","28 нояб. 2025 11:20","28 нояб. 2025 12:31",,"Неотложная","Задание","Открыта","3","Базовая архитектура/Авторизация",,"0"
"BARTER-6","Бартер","Звезда","Отправка письма с ссылкой на подтверждение аккаута","admin","28 нояб. 2025 11:23","28 нояб. 2025 11:39",,"Обычная","Задание","Открыта","2","Базовая архитектура/Авторизация",,"0"
"BARTER-24","Бартер","Звезда","Реализация crud-тегов","admin","28 нояб. 2025 12:13","28 нояб. 2025 12:31",,"Неотложная","Задание","Открыта","2","Работа с объявлениями",,"0"
"BARTER-26","Бартер","Звезда","Реализовать crud-объявлений","admin","28 нояб. 2025 12:16","28 нояб. 2025 12:30",,"Неотложная","Задание","Открыта","3","Работа с объявлениями",,"0"
"BARTER-27","Бартер","Звезда","Архивация/активация объявлений в ручную/через опр. срок","admin","28 нояб. 2025 12:17","28 нояб. 2025 12:30",,"Серьезная","Задание","Открыта","4","Работа с объявлениями",,"0"
"BARTER-28","Бартер","Звезда","Поиск объявлений по ключевым словам","admin","28 нояб. 2025 12:19","28 нояб. 2025 12:30",,"Серьезная","Задание","Открыта","6","Работа с объявлениями",,"0"
"BARTER-37","Бартер","Звезда","Механизм поиска объвлений на основе предпочтений об обмене","admin","28 нояб. 2025 12:28","28 нояб. 2025 12:30",,"Критическая","Задание","Открыта","8","Работа с объявлениями","Реализовать механизм поиска объявлений на основе желаемого","0"
"BARTER-25","Бартер","Звезда","Реализация crud-вложений_объявлений","admin","28 нояб. 2025 12:14","28 нояб. 2025 12:30",,"Критическая","Задание","Открыта","3","Работа с объявлениями",,"0"
"BARTER-29","Бартер","Звезда","Фильтрация объявлений","admin","28 нояб. 2025 12:20","28 нояб. 2025 12:30",,"Серьезная","Задание","Открыта","17","Работа с объявлениями",,"0"
"BARTER-36","Бартер","Звезда","Фильтрация по рейтингу","admin","28 нояб. 2025 12:27","28 нояб. 2025 12:29",,"Обычная","Задание","Открыта","5","Работа с объявлениями",,"0"
"BARTER-35","Бартер","Звезда","Фильтрация по срочности","admin","28 нояб. 2025 12:26","28 нояб. 2025 12:26",,"Обычная","Задание","Открыта","1","Работа с объявлениями",,"0"
"BARTER-33","Бартер","Звезда","Фильтрация по категориям","admin","28 нояб. 2025 12:24","28 нояб. 2025 12:26",,"Обычная","Задание","Открыта","1","Работа с объявлениями",,"0"
"BARTER-34","Бартер","Звезда","Фильтрация по тегам","admin","28 нояб. 2025 12:24","28 нояб. 2025 12:24",,"Обычная","Задание","Открыта","1","Работа с объявлениями",,"0"
"BARTER-32","Бартер","Звезда","Фильтрация по языкам","admin","28 нояб. 2025 12:23","28 нояб. 2025 12:23",,"Обычная","Задание","Открыта","2","Работа с объявлениями",,"0"
"BARTER-31","Бартер","Звезда","Фильтрация по локации","admin","28 нояб. 2025 12:22","28 нояб. 2025 12:22",,"Обычная","Задание","Открыта","3","Работа с объявлениями",,"0"
"BARTER-30","Бартер","Звезда","Фильтр по наличию портфолио","admin","28 нояб. 2025 12:21","28 нояб. 2025 12:21",,"Обычная","Задание","Открыта","3","Работа с объявлениями",,"0"
"BARTER-23","Бартер","Звезда","Реализация crud-категорий","admin","28 нояб. 2025 12:13","28 нояб. 2025 12:25",,"Неотложная","Задание","Открыта","2","Работа с объявлениями",,"0"
"BARTER-19","Бартер","Звезда","Ролевая система","admin","28 нояб. 2025 12:01","28 нояб. 2025 12:04",,"Неотложная","Задание","Открыта","6","Базовая архитектура/Авторизация",,"0"
"BARTER-22","Бартер","Звезда","Реализация сида ролей и разрешений + аккаунта супер пользователя","admin","28 нояб. 2025 12:04","28 нояб. 2025 12:04",,"Обычная","Задание","Открыта","1","Базовая архитектура/Авторизация",,"0"
"BARTER-21","Бартер","Звезда","Создание crud-разрешений","admin","28 нояб. 2025 12:02","28 нояб. 2025 12:02",,"Обычная","Задание","Открыта","2","Базовая архитектура/Авторизация",,"0"
"BARTER-20","Бартер","Звезда","Создание crud-ролей","admin","28 нояб. 2025 12:02","28 нояб. 2025 12:02",,"Обычная","Задание","Открыта","2","Базовая архитектура/Авторизация",,"0"
"BARTER-18","Бартер","Звезда","Реализовать crud-портфолио","admin","28 нояб. 2025 11:53","28 нояб. 2025 11:53",,"Критическая","Задание","Открыта","6","Профиль/портфолио",,"0"
"BARTER-17","Бартер","Звезда","Реализовать crud-контактов_профиля","admin","28 нояб. 2025 11:51","28 нояб. 2025 11:51",,"Обычная","Задание","Открыта","3","Профиль/портфолио",,"0"
"BARTER-16","Бартер","Звезда","Реализовать crud-языков_профиля","admin","28 нояб. 2025 11:50","28 нояб. 2025 11:50",,"Серьезная","Задание","Открыта","3","Профиль/портфолио",,"0"
"BARTER-14","Бартер","Звезда","Загрузка фото профиля","admin","28 нояб. 2025 11:47","28 нояб. 2025 11:49",,"Обычная","Задание","Открыта","1","Профиль/портфолио",,"0"
"BARTER-15","Бартер","Звезда","Реализовать crud-навыков_профиля","admin","28 нояб. 2025 11:48","28 нояб. 2025 11:49",,"Серьезная","Задание","Открыта","3","Профиль/портфолио",,"0"
"BARTER-13","Бартер","Звезда","Работа с файлами в системе","admin","28 нояб. 2025 11:45","28 нояб. 2025 11:45",,"Неотложная","Задание","Открыта","4","Профиль/портфолио",,"0"
"BARTER-10","Бартер","Звезда","Выход из аккаунта","admin","28 нояб. 2025 11:33","28 нояб. 2025 11:38",,"Серьезная","Задание","Открыта","2","Базовая архитектура/Авторизация",,"0"
"BARTER-11","Бартер","Звезда","Реализовать отзыв сессии","admin","28 нояб. 2025 11:35","28 нояб. 2025 12:05",,"Обычная","Задание","Открыта","1","Базовая архитектура/Авторизация",,"0"
"BARTER-7","Бартер","Звезда","Вход в аккаунт","admin","28 нояб. 2025 11:26","28 нояб. 2025 11:38",,"Неотложная","Задание","Открыта","4","Базовая архитектура/Авторизация",,"0"
"BARTER-8","Бартер","Звезда","Реализация работы с сессией пользователя через JWT-токены","admin","28 нояб. 2025 11:28","29 нояб. 2025 06:00",,"Неотложная","Задание","Открыта","9","Базовая архитектура/Авторизация",,"0"
"BARTER-9","Бартер","Звезда","Реализация входа через внешние сервисы VK/GOOGLE/YANDEX","admin","28 нояб. 2025 11:30","29 нояб. 2025 05:59",,"Обычная","Задание","Открыта","8","Базовая архитектура/Авторизация",,"0"
